brand,model,price_usd,ram_gb,storage_gb,camera_mp,battery_mah,display_size_inch,charging_watt,5g_support,os,processor,rating,release_month,year
Infinix,Zero 30 940,1032.0,4.0,512.0,200.0,5000.0,5.9,100.0,No,Android,Tensor G4,4.8,June,2025.0
Google,Pixel 8 757,290.0,12.0,128.0,12.0,5500.0,6.1,65.0,No,Android,Snapdragon 7+ Gen 2,3.7,June,2025.0
Samsung,Galaxy Z Fold6 721,1403.0,12.0,256.0,64.0,4500.0,5.8,100.0,No,Android,Snapdragon 8 Gen 3,4.4,January,2025.0
Apple,ERR,528.0,4.0,512.0,50.0,5500.0,7.2,120.0,ERR,iOS,Snapdragon 8 Gen 3,4.6,January,2025.0
Samsung,Galaxy Z Fold6 609,1084.0,6.0,128.0,50.0,6000.0,6.6,65.0,No,Android,Snapdragon 6 Gen 1,5.0,October,2025.0
Google,Pixel 9 879,1190.0,4.0,256.0,12.0,6000.0,6.1,18.0,Yes,Android,Helio G99,4.3,October,2025.0
Samsung,Galaxy A75 850,176.0,4.0,128.0,48.0,4500.0,5.8,18.0,No,Android,Tensor G4,4.9,March,2025.0
Realme,C65 386,361.0,6.0,256.0,108.0,4000.0,6.1,33.0,No,Android,Snapdragon 8 Gen 3,4.5,November,2025.0
Samsung,Galaxy A75 912,1252.0,,,50.0,4000.0,6.9,18.0,Yes,Android,Tensor G4,4.2,ERR,2025.0
Google,Pixel 9 Pro 577,1480.0,16.0,256.0,64.0,6000.0,6.5,44.0,No,Android,Snapdragon 7+ Gen 2,3.7,June,2025.0
OnePlus,OnePlus 13 933,1060.0,12.0,1024.0,12.0,4500.0,6.4,65.0,No,Android,Tensor G4,4.8,October,2025.0
OnePlus,OnePlus 13 787,1497.0,12.0,256.0,64.0,4000.0,5.7,18.0,Yes,Android,Exynos 2400,3.6,April,2025.0
Google,Pixel Fold 2 474,187.0,4.0,1024.0,200.0,4000.0,6.6,100.0,Yes,Android,Helio G99,4.8,July,2025.0
Infinix,Smart 8 176,1286.0,16.0,,372.4979133902662,5000.0,6.0,18.0,No,Android,Dimensity 9300,3.6,September,2025.0
Vivo,X100 Pro 110,467.0,16.0,1024.0,48.0,4500.0,5.7,33.0,No,Android,Helio G99,3.8,February,2025.0
OnePlus,OnePlus 13R 9,817.0,16.0,128.0,50.0,4000.0,5.5,44.0,Yes,Android,A18 Pro,4.5,July,2025.0
Xiaomi,Redmi Note 14 Pro 928,1408.0,12.0,512.0,64.0,6000.0,6.9,18.0,No,Android,Exynos 2400,3.8,November,2025.0
Xiaomi,Mi 13 Ultra 846,1332.0,16.0,1024.0,108.0,5500.0,5.9,33.0,Yes,Android,Snapdragon 7+ Gen 2,4.1,February,2025.0
Realme,ERR,417.0,6.0,512.0,50.0,6000.0,6.9,120.0,Yes,Android,Exynos 2400,9.321979249852479,March,2025.0
Samsung,Galaxy M55 286,568.0,4.0,64.0,12.0,5500.0,6.7,120.0,ERR,ERR,A18 Pro,4.6,September,2025.0
Google,Pixel 9 470,1020.0,6.0,128.0,48.0,4000.0,6.0,18.0,No,Android,Tensor G4,4.4,December,2025.0
Xiaomi,Mi 14 324,1194.0,4.0,512.0,50.0,4500.0,6.9,120.0,Yes,Android,Snapdragon 7+ Gen 2,4.6,April,2025.0
Google,Pixel 9 567,1119.0,12.0,1024.0,108.0,5000.0,6.1,18.0,No,Android,A18 Pro,3.8,August,2025.0
ERR,GT 7 Pro 133,101.0,12.0,1024.0,50.0,5000.0,5.6,18.0,No,Android,Helio G99,,November,2025.0
Xiaomi,Redmi Note 14 Pro 603,241.0,16.0,1167.432380483572,48.0,5500.0,6.5,100.0,No,Android,Snapdragon 6 Gen 1,,November,2025.0
Samsung,Galaxy S24 506,979.0,8.0,512.0,200.0,5500.0,6.6,65.0,No,Android,Snapdragon 6 Gen 1,4.1,December,2025.0
OnePlus,OnePlus 13 212,848.0,12.0,1024.0,200.0,5500.0,5.8,44.0,Yes,Android,Helio G99,4.0,March,2025.0
Google,Pixel 9 Pro 620,892.0,4.0,1024.0,64.0,21839.57372269963,5.8,296.50192740783314,ERR,Android,Snapdragon 7+ Gen 2,4.2,August,2025.0
Oppo,Find X7 161,584.0,16.0,256.0,48.0,5000.0,6.6,120.0,No,Android,Tensor G4,4.3,September,2025.0
Oppo,Reno 11 73,681.0,16.0,1024.0,200.0,5500.0,6.7,300.10496695533476,Yes,Android,ERR,3.6,October,2025.0
Realme,11 Pro+ 376,112.0,6.0,256.0,200.0,4000.0,,,No,Android,Snapdragon 7+ Gen 2,3.5,January,4656.000386477492
Realme,GT Neo 6 992,212.0,4.0,512.0,108.0,,7.1,44.0,No,Android,Exynos 2400,11.414383336146567,October,2025.0
Samsung,Galaxy Z Fold6 466,876.0,16.0,64.0,48.0,4000.0,6.4,18.0,No,Android,Snapdragon 7+ Gen 2,4.1,October,2025.0
Realme,11 Pro+ 697,1229.0,8.0,1024.0,64.0,5500.0,6.4,44.0,Yes,Android,Dimensity 9300,4.2,August,2025.0
Xiaomi,Mi 14 89,1276.0,42.46689866280532,256.0,108.0,5500.0,6.4,120.0,No,ERR,Tensor G4,4.1,ERR,2025.0
Realme,GT 7 Pro 108,1047.0,12.0,1024.0,48.0,4000.0,7.1,100.0,No,Android,Helio G99,4.2,July,2025.0
Google,Pixel 9 Pro 288,1320.0,4.0,64.0,,4500.0,19.204435616587727,44.0,Yes,Android,Snapdragon 6 Gen 1,3.9,December,2025.0
Realme,C65 33,804.0,12.0,1024.0,50.0,5000.0,6.4,33.0,No,Android,Tensor G4,4.4,October,2025.0
Infinix,Smart 8 822,738.0,6.0,512.0,108.0,5000.0,6.8,100.0,No,Android,Dimensity 9300,4.5,January,2025.0
Xiaomi,Poco F6 373,651.0,8.0,1024.0,64.0,4500.0,5.7,44.0,Yes,Android,Snapdragon 8 Gen 3,3.6,December,2025.0
OnePlus,OnePlus 13 908,4056.3651610380043,16.0,512.0,12.0,5500.0,6.9,33.0,No,ERR,Snapdragon 8 Gen 3,4.1,January,2025.0
Oppo,Reno 11 265,102.0,,,48.0,5500.0,7.0,248.2784653671339,No,Android,Exynos 2400,4.4,January,2025.0
Realme,ERR,814.0,16.0,256.0,200.0,5000.0,21.578635270544556,65.0,Yes,Android,Exynos 2400,3.7,March,2025.0
Xiaomi,Redmi Note 14 Pro 634,525.0,12.0,64.0,108.0,5500.0,6.6,65.0,No,Android,A18 Pro,3.7,December,2025.0
Apple,iPhone 16 Pro 48,1182.0,6.0,512.0,200.0,4500.0,6.3,120.0,No,iOS,Snapdragon 7+ Gen 2,4.6,June,2025.0
Vivo,Y200 603,3725.223932552371,12.0,1024.0,200.0,18487.52934586944,5.8,120.0,No,Android,Helio G99,4.3,October,2025.0
Samsung,Galaxy S24 Ultra 609,,8.0,64.0,64.0,6000.0,26.59375893163144,44.0,No,Android,Tensor G4,3.7,December,2025.0
Infinix,Smart 8 26,637.0,8.0,512.0,200.0,5000.0,5.6,65.0,No,Android,Snapdragon 7+ Gen 2,4.9,December,2025.0
Oppo,ERR,,16.0,128.0,50.0,5000.0,,65.0,Yes,Android,Dimensity 9300,4.8,March,2025.0
Google,Pixel 9 Pro 753,1480.0,16.0,512.0,108.0,6000.0,6.3,33.0,No,Android,Tensor G4,4.7,April,2025.0
Oppo,A98 108,,4.0,128.0,12.0,5500.0,6.1,100.0,No,Android,Dimensity 9300,,January,2025.0
Oppo,Reno 11 946,1025.0,16.0,512.0,200.0,6000.0,6.5,18.0,Yes,Android,A18 Pro,4.3,August,2025.0
Vivo,Y200 811,300.0,12.0,1550.0863158155114,200.0,5000.0,7.2,,Yes,Android,A18 Pro,4.1,October,2025.0
Xiaomi,Poco X6 Pro 823,629.0,12.0,256.0,64.0,6000.0,7.1,44.0,Yes,Android,A18 Pro,3.7,July,2025.0
Xiaomi,Poco X6 Pro 537,1442.0,4.0,128.0,108.0,4500.0,6.5,18.0,No,Android,Snapdragon 7+ Gen 2,4.7,December,2025.0
OnePlus,Nord 4 68,119.0,12.0,64.0,48.0,4000.0,5.8,65.0,Yes,Android,Snapdragon 6 Gen 1,4.4,December,2025.0
Samsung,Galaxy A75 854,230.0,6.0,512.0,50.0,4500.0,6.2,33.0,No,Android,Dimensity 9300,5.0,September,2025.0
Xiaomi,Poco F6 669,238.0,12.0,1024.0,50.0,4500.0,7.1,18.0,No,Android,Snapdragon 8 Gen 3,4.3,October,2025.0
Google,Pixel 8 540,1230.0,6.0,128.0,200.0,4000.0,5.6,44.0,No,Android,Helio G99,4.4,February,2025.0
Oppo,Reno 11 404,188.0,16.0,1024.0,200.0,5000.0,6.7,100.0,Yes,Android,Helio G99,4.7,October,2025.0
ERR,iPhone 16 Pro Max 413,168.0,4.0,256.0,48.0,4000.0,6.1,65.0,ERR,ERR,Snapdragon 7+ Gen 2,4.8,July,2025.0
Infinix,Zero 30 771,666.0,8.0,64.0,48.0,4500.0,6.8,44.0,ERR,Android,Helio G99,4.5,ERR,2025.0
Oppo,Reno 12 96,258.0,4.0,256.0,108.0,5500.0,7.2,18.0,Yes,Android,Helio G99,4.5,June,2025.0
Realme,GT 7 Pro 272,213.0,4.0,256.0,200.0,5500.0,6.2,120.0,Yes,Android,Helio G99,4.2,February,2025.0
OnePlus,OnePlus 12 755,1278.0,12.0,128.0,200.0,5000.0,6.5,18.0,No,Android,A18 Pro,3.9,June,2025.0
Apple,iPhone 16 945,356.0,27.086640122111724,256.0,12.0,6000.0,6.8,18.0,No,iOS,Dimensity 9300,17.880104711276083,August,2025.0
Vivo,V29e 240,913.0,16.0,1024.0,48.0,5500.0,7.1,33.0,No,Android,Snapdragon 8 Gen 3,4.1,June,2025.0
Google,Pixel Fold 2 375,994.0,16.0,1024.0,48.0,6000.0,6.6,65.0,No,Android,A18 Pro,4.3,November,2025.0
Infinix,Zero 30 458,378.0,12.0,512.0,12.0,5000.0,6.9,120.0,Yes,Android,Snapdragon 6 Gen 1,3.7,November,2025.0
Xiaomi,Poco X6 Pro 798,758.0,16.0,64.0,12.0,5500.0,5.9,18.0,No,Android,Snapdragon 7+ Gen 2,3.9,October,2025.0
Oppo,Reno 12 410,166.0,6.0,64.0,64.0,6000.0,6.6,100.0,No,Android,Snapdragon 8 Gen 3,4.0,June,2025.0
Vivo,ERR,161.0,16.0,64.0,287.64722814520303,5000.0,7.2,161.5879460474549,Yes,Android,Tensor G4,3.8,August,2025.0
Realme,GT Neo 6 334,208.0,16.0,128.0,200.0,6000.0,7.1,18.0,No,Android,Snapdragon 7+ Gen 2,4.3,July,2025.0
Oppo,Reno 12 440,695.0,8.0,2066.5766145191856,323.59223879545533,5000.0,6.4,100.0,ERR,Android,A18 Pro,4.8,June,2025.0
Xiaomi,ERR,1343.0,8.0,1024.0,234.95063596500808,5000.0,5.5,18.0,ERR,Android,Tensor G4,4.3,October,2025.0
Vivo,V29e 261,544.0,12.0,1024.0,200.0,4000.0,6.8,44.0,Yes,Android,Tensor G4,4.1,August,2025.0
Infinix,Smart 8 626,1470.0,16.0,64.0,108.0,4000.0,6.1,33.0,Yes,Android,Snapdragon 8 Gen 3,4.7,January,2025.0
Realme,Narzo 70 335,714.0,16.0,128.0,50.0,4000.0,5.5,100.0,No,Android,A18 Pro,4.4,January,2025.0
Vivo,Y100A 133,1282.0,4.0,128.0,64.0,5000.0,6.6,120.0,Yes,Android,Snapdragon 8 Gen 3,4.4,December,2025.0
Infinix,Smart 8 549,1164.0,6.0,128.0,200.0,4000.0,6.2,18.0,Yes,Android,A18 Pro,4.8,March,2025.0
Samsung,Galaxy Z Fold6 878,385.0,6.0,64.0,48.0,6000.0,6.0,18.0,No,Android,A18 Pro,4.9,January,2025.0
Infinix,Note 40 Pro 172,1257.0,6.0,1024.0,108.0,5000.0,5.9,18.0,Yes,Android,Snapdragon 6 Gen 1,3.5,January,2025.0
ERR,Pixel 9 Pro 78,4051.599299014668,16.0,,64.0,4000.0,7.0,44.0,Yes,Android,Tensor G4,4.1,February,2025.0
Xiaomi,Mi 14 821,776.0,8.0,1024.0,48.0,5500.0,6.5,44.0,Yes,Android,Exynos 2400,4.0,April,2025.0
Infinix,Smart 8 989,1394.0,4.0,1024.0,12.0,4500.0,28.77116392942437,18.0,No,Android,Snapdragon 8 Gen 3,4.5,ERR,9286.815522363431
Google,Pixel 8 416,952.0,6.0,256.0,50.0,4000.0,7.1,65.0,No,Android,Dimensity 9300,4.4,June,2025.0
Samsung,Galaxy S24 Ultra 375,514.0,12.0,128.0,64.0,6000.0,7.0,100.0,Yes,Android,Dimensity 9300,3.5,August,2025.0
Samsung,Galaxy M55 969,1052.0,6.0,512.0,200.0,5500.0,7.1,33.0,Yes,Android,Tensor G4,4.6,August,2025.0
Infinix,GT 20 Pro 745,1258.0,8.0,64.0,108.0,4500.0,6.4,65.0,Yes,Android,Snapdragon 8 Gen 3,3.6,November,2025.0
Oppo,Reno 12 808,316.0,8.0,512.0,64.0,4000.0,6.6,33.0,No,Android,A18 Pro,4.5,September,2025.0
Xiaomi,Poco F6 756,350.0,6.0,512.0,12.0,4000.0,6.1,44.0,No,Android,Helio G99,4.6,April,2025.0
Vivo,Y100A 340,313.0,8.0,64.0,64.0,6000.0,6.1,33.0,Yes,Android,A18 Pro,4.6,July,2025.0
Xiaomi,Poco F6 396,1349.0,12.0,512.0,12.0,4500.0,6.2,18.0,No,Android,Snapdragon 8 Gen 3,4.8,January,2025.0
OnePlus,Nord CE 4 Lite 979,547.0,12.0,256.0,200.0,4000.0,6.6,65.0,Yes,Android,Snapdragon 8 Gen 3,4.4,May,2025.0
Vivo,Y100A 749,314.0,12.0,1024.0,108.0,5000.0,7.1,44.0,Yes,Android,A18 Pro,4.0,April,2025.0
Oppo,Reno 12 300,386.0,8.0,128.0,12.0,4500.0,6.2,65.0,No,Android,Snapdragon 6 Gen 1,4.5,November,2025.0
Google,Pixel Fold 2 185,476.0,12.0,1024.0,48.0,5500.0,6.9,100.0,No,Android,Snapdragon 6 Gen 1,4.6,August,2025.0
Google,Pixel 9 297,406.0,6.0,256.0,64.0,4500.0,6.7,18.0,No,Android,A18 Pro,4.2,May,2025.0
Google,Pixel 8 488,1209.0,16.0,64.0,48.0,5000.0,6.0,33.0,No,Android,Dimensity 9300,3.6,January,2025.0
Oppo,A98 349,1141.0,12.0,64.0,12.0,5000.0,5.6,100.0,Yes,Android,Tensor G4,3.8,January,2025.0
Oppo,F27 Pro 543,444.0,16.0,64.0,48.0,4500.0,7.0,120.0,Yes,Android,Tensor G4,13.77473904877281,February,
ERR,OnePlus 13R 921,1298.0,4.0,64.0,48.0,4500.0,5.7,44.0,No,ERR,Snapdragon 8 Gen 3,3.5,April,2025.0
Infinix,Hot 40 184,1132.0,6.0,128.0,48.0,4500.0,6.9,65.0,No,Android,Dimensity 9300,3.9,July,2025.0
Vivo,Y100A 553,3081.479949376914,4.0,1024.0,200.0,4000.0,7.1,65.0,No,Android,ERR,,December,2025.0
Vivo,V29e 256,473.0,16.0,128.0,108.0,5000.0,6.0,44.0,Yes,Android,Snapdragon 6 Gen 1,4.3,December,2025.0
Samsung,ERR,991.0,16.0,1347.2730685966067,48.0,5500.0,5.8,65.0,No,Android,Helio G99,,October,2025.0
Google,Pixel 9 Pro 249,951.0,8.0,128.0,48.0,5500.0,6.0,65.0,Yes,Android,Snapdragon 6 Gen 1,4.4,March,2025.0
Infinix,Smart 8 731,910.0,8.0,1024.0,200.0,4000.0,5.6,18.0,Yes,Android,Snapdragon 8 Gen 3,4.6,July,2025.0
Realme,GT Neo 6 746,752.0,4.0,1024.0,12.0,5000.0,6.6,120.0,No,Android,Snapdragon 8 Gen 3,4.5,December,2025.0
Vivo,Y100A 908,1220.0,16.0,64.0,64.0,4500.0,6.0,65.0,No,Android,A18 Pro,4.1,April,2025.0
Realme,C65 370,827.0,16.0,512.0,50.0,5500.0,6.2,100.0,No,Android,Tensor G4,4.0,February,2025.0
Realme,Narzo 70 410,287.0,8.0,512.0,48.0,5500.0,6.4,100.0,Yes,Android,A18 Pro,4.1,June,2025.0
Xiaomi,Mi 14 338,476.0,16.0,512.0,200.0,4000.0,7.0,120.0,Yes,Android,Dimensity 9300,4.5,August,2025.0
Realme,Narzo 70 939,236.0,12.0,1024.0,50.0,6000.0,6.8,33.0,Yes,Android,A18 Pro,4.5,October,2025.0
OnePlus,Nord CE 4 Lite 268,262.0,8.0,1024.0,108.0,5000.0,6.9,18.0,Yes,Android,A18 Pro,4.3,August,2025.0
Xiaomi,Mi 13 Ultra 849,803.0,8.0,128.0,200.0,4500.0,5.7,120.0,Yes,Android,Exynos 2400,3.8,January,2025.0
Xiaomi,Mi 14 53,754.0,12.0,512.0,108.0,6000.0,6.0,120.0,Yes,Android,Dimensity 9300,3.6,February,2025.0
Samsung,Galaxy S24 Ultra 98,793.0,12.0,128.0,50.0,5500.0,6.4,44.0,Yes,Android,Tensor G4,4.2,October,2025.0
Apple,iPhone 16 Pro 315,1188.0,8.0,512.0,48.0,4000.0,6.7,18.0,No,iOS,Snapdragon 7+ Gen 2,4.7,July,2025.0
Apple,ERR,1005.0,12.0,1399.2152354370348,12.0,5000.0,6.1,33.0,Yes,iOS,Helio G99,4.6,May,2025.0
Samsung,Galaxy S24 378,910.0,4.0,64.0,108.0,6000.0,6.9,65.0,Yes,Android,Snapdragon 8 Gen 3,4.1,December,2025.0
Xiaomi,Poco X6 Pro 204,1496.0,6.0,1024.0,12.0,5000.0,7.0,120.0,No,Android,Tensor G4,4.6,November,2025.0
Infinix,GT 20 Pro 907,3834.8818644048874,12.0,64.0,108.0,4000.0,5.6,18.0,ERR,Android,Dimensity 9300,21.866781109416245,December,2025.0
Oppo,F27 Pro 223,888.0,16.0,128.0,12.0,5500.0,6.6,120.0,No,Android,Snapdragon 7+ Gen 2,3.9,May,2025.0
Apple,iPhone 16 Pro 763,348.0,12.0,1024.0,108.0,6000.0,6.4,100.0,No,iOS,Snapdragon 8 Gen 3,4.2,April,2025.0
Apple,iPhone 14 441,1129.0,12.0,512.0,64.0,4500.0,7.2,65.0,No,iOS,Exynos 2400,4.2,August,2025.0
Vivo,V30 398,503.0,12.0,256.0,48.0,5000.0,6.5,44.0,No,Android,Dimensity 9300,4.1,January,2025.0
Samsung,Galaxy S24 421,247.0,16.0,128.0,50.0,4500.0,7.1,120.0,Yes,Android,Snapdragon 6 Gen 1,4.0,February,2025.0
OnePlus,OnePlus 13 728,1238.0,8.0,1024.0,64.0,5000.0,7.2,120.0,Yes,Android,Snapdragon 7+ Gen 2,4.9,May,2025.0
OnePlus,ERR,706.0,12.0,,50.0,4000.0,5.7,33.0,Yes,Android,Exynos 2400,3.9,March,2025.0
OnePlus,OnePlus 13 838,1398.0,6.0,64.0,50.0,5500.0,5.8,100.0,Yes,Android,Snapdragon 8 Gen 3,3.6,October,2025.0
Google,Pixel Fold 2 528,358.0,4.0,1024.0,50.0,5500.0,7.1,44.0,No,Android,Snapdragon 6 Gen 1,4.0,October,2025.0
Infinix,Note 40 Pro 164,1430.0,6.0,64.0,48.0,6000.0,,100.0,No,Android,Snapdragon 8 Gen 3,,January,2025.0
Oppo,Reno 11 399,107.0,6.0,64.0,64.0,6000.0,6.3,65.0,Yes,Android,Snapdragon 8 Gen 3,3.9,March,2025.0
Realme,C65 776,818.0,4.0,512.0,108.0,4000.0,6.3,44.0,No,Android,Dimensity 9300,4.2,January,2025.0
Infinix,Hot 40 117,613.0,16.0,1024.0,50.0,4500.0,5.9,44.0,Yes,Android,Exynos 2400,3.9,December,2025.0
Infinix,GT 20 Pro 990,1065.0,4.0,1024.0,200.0,6000.0,6.2,33.0,Yes,Android,A18 Pro,4.5,January,2025.0
Oppo,Reno 12 768,1143.0,4.0,128.0,50.0,5000.0,6.1,100.0,No,Android,Dimensity 9300,4.7,October,2025.0
Xiaomi,Mi 13 Ultra 677,130.0,8.0,64.0,200.0,5000.0,19.598661987478998,33.0,No,ERR,Snapdragon 8 Gen 3,4.6,February,2025.0
Xiaomi,Poco X6 Pro 150,781.0,4.0,64.0,12.0,4500.0,6.5,120.0,No,Android,Helio G99,4.2,December,2025.0
OnePlus,OnePlus 12 683,724.0,4.0,128.0,64.0,5000.0,5.7,65.0,No,Android,Snapdragon 6 Gen 1,3.6,February,2025.0
Google,Pixel 9 Pro 111,1437.0,4.0,256.0,48.0,5000.0,6.6,120.0,Yes,Android,Helio G99,4.3,September,2025.0
Infinix,Smart 8 818,1384.0,16.0,1024.0,200.0,5500.0,7.0,44.0,No,Android,Helio G99,4.9,September,2025.0
OnePlus,Nord CE 4 Lite 586,876.0,6.0,128.0,12.0,4500.0,6.6,120.0,Yes,Android,Exynos 2400,4.8,March,2025.0
Realme,C65 285,360.0,6.0,256.0,108.0,4000.0,6.6,100.0,No,Android,A18 Pro,4.1,May,2025.0
Vivo,Y200 328,776.0,12.0,512.0,48.0,4500.0,6.5,65.0,Yes,Android,Tensor G4,3.6,February,2025.0
Apple,iPhone 15 325,1326.0,16.0,64.0,12.0,4000.0,6.0,120.0,No,iOS,Snapdragon 8 Gen 3,3.9,February,2025.0
OnePlus,OnePlus 12 265,637.0,16.0,1024.0,48.0,4500.0,7.0,100.0,Yes,Android,Dimensity 9300,3.6,February,2025.0
ERR,Y100A 216,1137.0,4.0,,12.0,6000.0,6.1,198.8935416987454,Yes,Android,Snapdragon 7+ Gen 2,4.3,February,2025.0
OnePlus,OnePlus 13 375,342.0,8.0,512.0,48.0,4500.0,7.1,18.0,No,Android,Helio G99,4.8,June,2025.0
Xiaomi,Mi 14 462,105.0,12.0,64.0,12.0,5000.0,6.4,120.0,Yes,Android,Helio G99,4.8,April,2025.0
Apple,iPhone 16 577,727.0,6.0,64.0,50.0,4500.0,7.2,100.0,No,iOS,Snapdragon 8 Gen 3,4.1,July,2025.0
Apple,iPhone 16 979,736.0,6.0,128.0,64.0,6000.0,7.1,18.0,Yes,iOS,Tensor G4,3.7,July,2025.0
Infinix,Zero 30 499,773.0,8.0,64.0,50.0,6000.0,7.1,65.0,Yes,Android,Snapdragon 7+ Gen 2,4.0,October,2025.0
Xiaomi,Poco X6 Pro 519,794.0,12.0,1024.0,200.0,4000.0,5.9,44.0,No,Android,Snapdragon 7+ Gen 2,4.3,October,2025.0
Apple,iPhone 16 Pro Max 615,367.0,4.0,512.0,200.0,4500.0,7.2,65.0,No,iOS,Dimensity 9300,4.2,April,2025.0
Google,ERR,658.0,8.0,64.0,200.0,4000.0,6.8,100.0,No,ERR,Exynos 2400,4.5,August,2025.0
